run_id,suite,scenario,system,version,cfg_hash,corpus,lang,query_id,k,sla_ms,lat_ms,hit@k,ndcg@10,recall@50,success@10,ece,p50,p95,p99,sla_recall50,diversity10,core10,why_mix_semantic,why_mix_struct,why_mix_lex,memory_gb,qps150x
4cd9787d,protocol_v2_fast,clone_heavy,opensearch,opensearch-2.11.0,707808d6,swebench_sample,python,24f1b0a7,10,150,4.825246,0,0,0,0,0,3.8601968,5.7902952,7.237869,0,0,0,0.4,0.3,0.3,4,207
4cd9787d,protocol_v2_fast,clone_heavy,opensearch,opensearch-2.11.0,707808d6,swebench_sample,typescript,10faae55,10,150,2.230988,0,0,0,0,0,1.7847904,2.6771856,3.346482,0,0,0,0.4,0.3,0.3,4,448
4cd9787d,protocol_v2_fast,clone_heavy,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,python,24f1b0a7,10,150,0.013806,0,0,0,0,0,0.0110448,0.0165672,0.020709,0,0,0,0.4,0.3,0.3,4,72432
4cd9787d,protocol_v2_fast,clone_heavy,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,typescript,10faae55,10,150,0.007494,0,0,0,0,0,0.0059952,0.008992799999999999,0.011241,0,0,0,0.4,0.3,0.3,4,133440
4cd9787d,protocol_v2_fast,clone_heavy,lens,lens-v2.0,759023b0,swebench_sample,python,24f1b0a7,10,150,5.88173,0,0,0,0,0,4.7053840000000005,7.058076,8.822595,0,0,0,0.4,0.3,0.3,4,170
4cd9787d,protocol_v2_fast,clone_heavy,lens,lens-v2.0,759023b0,swebench_sample,typescript,10faae55,10,150,4.861744,0,0,0,0,0,3.8893952,5.8340928,7.292616,0,0,0,0.4,0.3,0.3,4,205
4cd9787d,protocol_v2_fast,noisy_bloat,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,python,ccd10663,10,150,5.122842,0,0,0,0,0,4.098273600000001,6.1474104,7.6842630000000005,0,0,0,0.4,0.3,0.3,4,195
4cd9787d,protocol_v2_fast,noisy_bloat,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,typescript,2e5d8aa3,10,150,4.830466,0,0,0,0,0,3.8643728000000004,5.7965592,7.245699,0,0,0,0.4,0.3,0.3,4,207
4cd9787d,protocol_v2_fast,noisy_bloat,grep,unknown,ce7b2437,swebench_sample,python,ccd10663,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,noisy_bloat,grep,unknown,ce7b2437,swebench_sample,typescript,2e5d8aa3,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,noisy_bloat,find,unknown,7c93afa8,swebench_sample,python,ccd10663,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,noisy_bloat,find,unknown,7c93afa8,swebench_sample,typescript,2e5d8aa3,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,noisy_bloat,opensearch,opensearch-2.11.0,707808d6,swebench_sample,python,ccd10663,10,150,9.138787,1,0.21499999999999997,0.25,1,0.04999999999999999,7.311029600000001,10.9665444,13.708180500000001,0.25,0.5,0.1,0.4,0.3,0.3,4,109
4cd9787d,protocol_v2_fast,noisy_bloat,opensearch,opensearch-2.11.0,707808d6,swebench_sample,typescript,2e5d8aa3,10,150,7.683677,1,0,0,0,0,6.146941600000001,9.2204124,11.525515500000001,0,0.1,0,0.4,0.3,0.3,4,130
4cd9787d,protocol_v2_fast,noisy_bloat,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,python,ccd10663,10,150,0.027322,0,0,0,0,0,0.0218576,0.0327864,0.040983,0,0,0,0.4,0.3,0.3,4,36600
4cd9787d,protocol_v2_fast,noisy_bloat,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,typescript,2e5d8aa3,10,150,0.007424,0,0,0,0,0,0.0059392,0.0089088,0.011136,0,0,0,0.4,0.3,0.3,4,134698
4cd9787d,protocol_v2_fast,noisy_bloat,lens,lens-v2.0,759023b0,swebench_sample,python,ccd10663,10,150,10.198357,0,0,0,0,0,8.1586856,12.2380284,15.297535499999999,0,0,0,0.4,0.3,0.3,4,98
4cd9787d,protocol_v2_fast,noisy_bloat,lens,lens-v2.0,759023b0,swebench_sample,typescript,2e5d8aa3,10,150,7.190697,0,0,0,0,0,5.7525576,8.628836399999999,10.7860455,0,0,0,0.4,0.3,0.3,4,139
